2021-05-18,8:53:33,44.19,2
2021-05-18,8:53:28,44.35,1
2021-05-18,8:53:23,45.03,1
2021-05-18,8:53:18,47.2,1
2021-05-18,8:53:13,44.17,1
2021-05-18,8:53:08,43.98,1
2021-05-18,8:53:03,43.96,1
2021-05-18,8:53:01,43.98,1
2021-05-18,8:50:18,44.25,1
2021-05-18,8:50:13,44.5,1
2021-05-18,8:50:08,46.26,1
2021-05-18,8:50:03,44.14,3
2021-05-18,8:50:00,43.99,1
2021-05-18,8:48:53,44.39,1
2021-05-18,8:48:48,44.29,1
2021-05-18,8:48:43,44.33,1
2021-05-18,8:48:39,44.37,1
2021-05-18,8:48:18,44.2,1
2021-05-18,8:48:13,44.23,1
2021-05-18,8:48:08,44.4,1
2021-05-18,8:48:03,44.42,3
2021-05-18,8:47:58,44.46,1
2021-05-18,8:47:53,44.43,2
2021-05-18,8:47:48,44.47,1
2021-05-18,8:47:43,44.69,1
2021-05-18,8:47:38,45.01,2
2021-05-18,8:47:33,47.05,1
2021-05-18,8:47:28,45.62,1
2021-05-18,8:47:23,48.25,1
2021-05-18,8:47:22,44.75,1
2021-05-18,8:47:13,45.52,1
2021-05-18,8:47:08,45.21,3
2021-05-18,8:47:03,45.1,1
2021-05-18,8:46:58,47.21,2
2021-05-18,8:46:53,46.52,2
2021-05-18,8:46:48,46.3,1
2021-05-18,8:46:43,46.86,1
2021-05-18,8:46:38,45.69,1
2021-05-18,8:46:33,44.2,1
2021-05-18,8:46:28,44.22,1
2021-05-18,8:46:23,44.16,2
2021-05-18,8:46:18,44.06,1
2021-05-18,8:46:13,44.05,3
2021-05-18,8:46:08,44.03,1
2021-05-18,8:46:03,44.07,3
2021-05-18,8:45:58,44.21,1
2021-05-18,8:45:53,44.4,1
2021-05-18,8:45:48,45.2,1
2021-05-18,8:45:43,45.35,2
2021-05-18,8:45:38,44.0,1
2021-05-18,8:45:33,44.06,1
2021-05-18,8:45:28,43.91,1
2021-05-18,8:45:23,44.03,1
2021-05-18,8:45:18,44.05,3
2021-05-18,8:45:13,44.01,1
2021-05-18,8:45:08,44.18,3
2021-05-18,8:45:03,44.74,1
2021-05-18,8:44:58,44.09,1
2021-05-18,8:44:53,44.07,1
2021-05-18,8:44:48,44.05,2
2021-05-18,8:44:43,44.12,1
2021-05-18,8:44:38,44.24,1
2021-05-18,8:44:33,44.13,1
2021-05-18,8:44:28,44.26,2
2021-05-18,8:44:23,44.33,2
2021-05-18,8:44:18,44.74,1
2021-05-18,8:44:13,45.21,2
2021-05-18,8:44:08,44.53,1
2021-05-18,8:44:03,44.64,1
2021-05-18,8:43:58,45.21,1
2021-05-18,8:43:53,47.71,1
2021-05-18,8:43:48,44.14,1
2021-05-18,8:43:43,44.0,1
2021-05-18,8:43:38,44.08,1
2021-05-18,8:43:33,44.14,1
2021-05-18,8:43:28,44.34,3
2021-05-18,8:43:23,44.75,1
2021-05-18,8:43:18,44.19,2
2021-05-18,8:43:13,43.96,1
2021-05-18,8:43:08,44.04,1
2021-05-18,8:43:03,44.05,1
2021-05-18,8:42:58,44.12,1
2021-05-18,8:42:53,44.13,1
2021-05-18,8:42:48,44.05,1
2021-05-18,8:42:43,44.07,1
2021-05-18,8:42:38,44.11,1
2021-05-18,8:42:33,44.2,3
2021-05-18,8:42:28,44.26,1
2021-05-18,8:42:23,44.39,3
2021-05-18,8:42:18,44.65,1
2021-05-18,8:42:13,45.28,1
2021-05-18,8:42:08,46.38,1
2021-05-18,8:42:03,45.22,1
2021-05-18,8:41:58,44.5,1
2021-05-18,8:41:53,44.9,1
2021-05-18,8:41:48,46.51,1
2021-05-18,8:41:43,47.15,1
2021-05-18,8:41:38,44.84,3
2021-05-18,8:41:33,47.63,1
2021-05-18,8:41:28,44.04,2
2021-05-18,8:41:23,44.02,1
2021-05-18,8:41:18,44.02,1
2021-05-18,8:41:13,44.13,1
2021-05-18,8:41:08,44.13,1
2021-05-18,8:41:03,43.99,1
2021-05-18,8:40:58,44.16,1
2021-05-18,8:40:53,43.94,1
2021-05-18,8:40:48,43.95,1
2021-05-18,8:40:43,43.97,3
2021-05-18,8:40:38,44.0,1
2021-05-18,8:40:33,44.03,5
2021-05-18,8:40:27,44.11,1
2021-05-18,8:40:22,44.13,1
2021-05-18,8:40:17,44.18,1
2021-05-18,8:40:15,44.36,1
2021-05-18,8:40:07,44.77,1
2021-05-18,8:40:02,46.74,1
2021-05-18,8:39:57,44.09,1
2021-05-18,8:39:52,44.2,1
2021-05-18,8:39:47,44.45,3
2021-05-18,8:39:42,45.32,1
2021-05-18,8:39:37,45.04,3
2021-05-18,8:39:32,44.06,1
2021-05-18,8:39:27,44.0,1
