2021-05-18,12:59:00,26.67,1008.6,24.8
2021-05-18,12:58:55,26.65,1008.64,24.86
2021-05-18,12:58:50,26.64,1008.62,25.23
2021-05-18,12:58:45,26.65,1008.64,25.25
2021-05-18,12:58:40,26.63,1008.63,25.64
2021-05-18,12:58:35,26.64,1008.63,25.11
2021-05-18,12:58:30,26.63,1008.64,25.28
2021-05-18,12:58:25,26.62,1008.63,25.32
2021-05-18,12:58:20,26.61,1008.65,25.66
2021-05-18,12:58:15,26.6,1008.66,25.23
2021-05-18,12:58:10,26.59,1008.66,25.49
2021-05-18,12:58:05,26.58,1008.63,25.66
2021-05-18,12:58:00,26.58,1008.64,26.11
2021-05-18,12:57:55,26.57,1008.64,26.37
2021-05-18,12:57:50,26.55,1008.65,26.7
2021-05-18,12:57:45,26.55,1008.64,26.64
2021-05-18,12:56:02,27.08,1010.06,43.61
